"ADIPOR2"	"AEBP2"	"ALG10"	"ARNTL2"	"ATN1"	"C12orf4"	"CCDC77"	"CD9"	"CDCA3"	"COPS7A"	"DERA"	"DNM1L"	"EMG1"	"ERC1"	"ERGIC2"	"FKBP4"	"FOXJ2"	"GAPDH"	"ITFG2"	"KDM5A"	"LPCAT3"	"M6PR"	"MLF2"	"MRPL51"	"MRPS35"	"NCAPD2"	"NECAP1"	"PARP11"	"PEX5"	"PLEKHA5"	"PLEKHG6"	"RAD51AP1"	"RAD52"	"STRAP"	"TULP3"	"USP5"	"WBP11"	"ZNF384"
"TCGA.21.5784.01A.01R.1635.07"	1905.5623	458.6973	69.446	100.8515	1976.7776	419.3299	117.2177	17093.8848	112.9581	1930.7752	580.7807	781.1567	773.6371	576.3574	577.2421	3575.8045	310.9588	43014.9287	413.1372	894.8358	1882.5611	2143.9567	3466.5487	1455.2693	770.0984	917.837	492.7568	131.3723	630.3218	348.5569	149.9502	113.6791	74.754	1320.3583	372.4428	1297.7994	921.818	534.7783
"TCGA.21.5786.01A.01R.1635.07"	7017.6738	2719.7442	445.0429	1013.2974	10315.0985	1062.784	392.8632	41592.9978	1010.1195	6108.3993	2126.9147	4478.034	1445.8206	4158.5592	1719.2392	11538.7982	2184.4807	505878.135	1123.3799	4271.6714	2729.8435	7350.133	12500.2525	5377.8825	3855.2432	13910.4528	1143.5785	906.918	4235.6506	1030.8029	242.0468	1099.4782	248.1064	9894.6305	1945.4637	8172.3616	7425.0126	3533.0752
"TCGA.21.5787.01A.01R.1635.07"	1714.1813	636.6959	241.2281	122.076	3919.5906	254.0205	160.8187	6573.0994	406.5095	1968.9327	619.883	1558.4795	1142.1784	625.3655	1199.9269	3401.3158	342.1053	144405.7018	350.5117	821.2719	1004.7515	2671.3377	4804.0936	2253.655	2297.5146	2173.9766	489.0351	137.4269	1000	603.8012	71.2719	329.6784	66.886	2692.9825	403.5088	1641.4474	2172.5146	964.1813
"TCGA.21.A5DI.01A.31R.A26W.07"	5690.9722	3186.1111	172.2222	2477.7778	12402.7778	895.1389	620.8333	69759.7222	855.7847	4909.7222	1595.8333	2931.25	2050.6944	753.4722	1441.6667	5418.0556	1371.5278	238029.8611	1277.0833	3459.0278	3309.7222	6334.2222	12762.5	5906.25	3246.5278	6275	1874.3056	738.8889	2172.2222	2133.3333	1371.5278	743.0556	568.75	4442.3611	1807.6389	4873.6111	2937.5	3339.5833
"TCGA.22.0940.01A.01R.0692.07"	3238.9678	593.1189	190.3515	743.4555	4122.2887	634.2558	271.5034	12325.3553	405.4413	2072.5505	772.6253	2156.6941	1227.7487	1298.8033	1077.4121	9594.2408	557.5916	92378.4592	330.9648	1727.7487	2225.5049	5433.0927	5504.1137	2180.6283	2030.6657	2303.2909	1013.089	319.7457	1398.2797	314.5101	300.6731	445.7741	120.0449	2273.7472	499.626	2653.7023	2438.2947	1102.8422
"TCGA.22.0944.01A.01R.0692.07"	3155.6862	1383.136	185.3294	1231.1849	2877.8511	357.9433	137.3822	22556.4651	533.0525	1896.5271	2638.7984	1917.8256	939.9984	1027.7358	934.9122	5333.2274	847.1748	134237.9401	171.9781	1169.1425	1291.9018	4066.5469	5949.9324	2280.5372	2761.1857	3597.2344	686.3228	206.3101	1251.5298	617.3409	342.3667	498.7682	57.3822	4197.4092	909.1632	2765.0004	3058.73	1521.0999
"TCGA.22.1000.01A.01R.A32Z.07"	1973.2153	762.8113	83.2319	677.3658	3205.3127	476.8124	134.5877	13279.4687	170.5678	1687.2164	979.3027	1366.6851	529.9391	1212.6176	994.3553	2034.311	915.5506	63783.5086	448.0354	1120.974	1554.8423	3451.6657	3022.4682	1505.2573	855.3403	1664.6375	773.4366	281.5717	715.44	659.2142	351.5219	219.5905	109.3525	2137.9081	656.5578	1924.5158	1663.3094	1055.0083
"TCGA.22.1002.01A.01R.0692.07"	2612.0888	850.1854	181.3102	131.5204	4179.9997	517.157	163.4611	9239.7769	252.3078	1948.8503	701.2855	1284.2026	568.356	1151.2731	767.9851	3359.4065	822.4721	57196.3376	453.2756	1526.5759	2363.1395	3897.1041	3232.5832	1503.0901	1156.44	2361.2607	872.7317	233.4487	1125.9085	611.1001	62.4722	227.3424	149.8393	2854.4621	599.8269	2448.6278	2513.4485	1218.9122
"TCGA.22.1005.01A.01R.0692.07"	1866.5448	533.8208	51.1883	193.7843	3563.0713	447.8976	164.5338	5915.9049	247.1846	1535.649	890.3108	1387.5686	780.6216	957.9525	1160.8775	2144.4241	568.5558	49968.9214	447.8976	1058.5009	1191.9561	3505.1737	4272.3949	1685.5576	1173.6746	1709.3236	937.8428	314.4424	903.1079	595.9781	171.8464	171.8464	127.9707	1791.5905	550.2742	1533.8208	2042.0475	1265.0823
"TCGA.22.1011.01A.01R.0692.07"	3387.3278	1412.1212	293.6639	1823.6915	4439.1185	625.3444	307.438	24204.9587	227.686	2128.3747	855.6474	2387.8788	524.2314	1795.0413	1161.4325	4339.3939	1148.7603	134429.7521	498.0716	2298.6226	3123.416	5394.3196	4956.4738	2017.0799	1138.292	3418.7328	861.708	392.8375	958.1267	1574.1047	395.0413	387.8788	163.0854	3206.6116	582.3691	2594.4904	3087.6033	1578.5124
